SIT_ID,SuccessRate
90301.00,99.2042
90201.00,97.2775
100101.00,96.6102
100201.00,96.1538
90101.00,95.2187
82321.33,94.4444
90311.00,94.1176
82221.33,91.6667
81221.67,88.8889
82111.33,88.5714
82121.33,87.5000
110101.00,86.2069
120101.00,85.7143
81211.67,83.3333
82101.33,80.0000
81321.67,80.0000
82231.33,75.0000
81121.67,75.0000
90321.00,75.0000
81111.67,72.2222
90111.00,66.6667
81201.67,66.6667
72112.33,50.0000
90431.00,50.0000
80202.00,45.4545
60104.00,33.3333
80122.00,33.3333
80102.00,29.4118
80112.00,25.0000
60102.00,14.2857
80201.00,8.3333
