Pitcher_ID,year,SaveRating,made,blown,attempts
A.J. Ramos,2013,-1.8748125937031483,0,4,4
Aaron Crow,2011,-1.8128232450554878,0,4,4
Aaron Crow,2012,1.8229896040990496,2,5,7
Aaron Crow,2013,1.027749229188078,1,0,1
Aaron Heilman,2010,-12.049939099055937,3,4,7
Aaron Laffey,2011,-0.5,0,1,1
Aaron Loup,2012,-0.5,0,1,1
Aaron Loup,2013,1.2082847141190198,1,2,3
Adam Ottavino,2012,-0.9582431654651087,0,3,3
Adam Warren,2013,3.0030030030030033,1,0,1
Addison Reed,2012,29.65834748322532,27,2,29
Addison Reed,2013,-34.50014554231322,37,7,44
Al Alburquerque,2012,-0.5834305717619603,0,2,2
Alex Burnett,2010,-0.29171528588098017,0,1,1
Alex Burnett,2011,-0.5,0,1,1
Alex Burnett,2012,-0.3541076487252125,0,1,1
Alex Hinshaw,2012,-0.29171528588098017,0,1,1
Alexander Torres,2013,-0.7917152858809802,0,2,2
Alexi Ogando,2010,-1.3748125937031483,0,3,3
Alexi Ogando,2011,-0.6665278795841285,0,2,2
Alexi Ogando,2012,1.5635629745051887,3,3,6
Alfredo Aceves,2010,2.0,1,0,1
Alfredo Aceves,2011,5.131193412302858,2,2,4
Alfredo Aceves,2012,3.400144528985442,23,5,28
Alfredo Simon,2010,-4.07435077925104,15,4,19
Alfredo Simon,2012,1.059322033898305,1,0,1
Alfredo Simon,2013,-0.5,0,1,1
Andrew Bailey,2010,25.296304489554398,24,2,26
Andrew Bailey,2011,16.694790784628104,23,2,25
Andrew Bailey,2012,-3.4435168381828962,6,2,8
Andrew Bailey,2013,-4.118368555786702,8,3,11
Andrew Cashner,2010,-0.5,0,1,1
Andrew Cashner,2012,-1.2740931692427169,0,2,2
Andrew Miller,2013,-0.5,0,1,1
Andy Sonnanstine,2010,1.160092807424594,1,0,1
Andy Sonnanstine,2011,-0.29171528588098017,0,1,1
Anthony Bass,2012,2.0,1,0,1
Anthony Slama,2010,-0.29171528588098017,0,1,1
Anthony Swarzak,2012,-2.0,0,1,1
Anthony Swarzak,2013,-0.3748125937031484,0,1,1
Anthony Varvaro,2011,-0.5,0,1,1
Anthony Varvaro,2013,-0.5,0,1,1
Antonio Bastardo,2011,6.701446773702483,5,1,6
Antonio Bastardo,2012,-1.1635802760150988,1,4,5
Antonio Bastardo,2013,-0.2338709677419355,2,3,5
Arodys Vizcaino,2011,-0.3748125937031484,0,1,1
Aroldis Chapman,2010,-0.5,0,1,1
Aroldis Chapman,2011,-0.8541076487252125,0,2,2
Aroldis Chapman,2012,-7.903246990934843,9,4,13
Aroldis Chapman,2013,25.115419266511093,28,1,29
Arthur Rhodes,2010,-2.6929824561403497,0,2,2
Arthur Rhodes,2011,-0.35485839947596354,1,3,4
Bill Bray,2011,-3.5,0,4,4
Bill Bray,2012,-1.2740931692427169,0,2,2
Billy Wagner,2010,-5.213689312152694,17,3,20
Blake Beavan,2013,-0.29171528588098017,0,1,1
Blake Hawksworth,2011,-0.3748125937031484,0,1,1
Blake Parker,2013,1.160092807424594,1,0,1
Blake Wood,2010,-2.981172494680614,0,3,3
Blake Wood,2011,1.2390866014719228,1,2,3
Bob Howry,2010,-0.5,0,1,1
Bobby Cassevah,2011,-0.5,0,1,1
Bobby Jenks,2010,-10.13057384801097,24,3,27
Bobby Jenks,2011,-0.8748125937031483,0,2,2
Bobby Parnell,2010,-0.3541076487252125,0,1,1
Bobby Parnell,2011,-3.0543764659295167,2,3,5
Bobby Parnell,2012,-2.006942523682393,3,3,6
Bobby Parnell,2013,6.322392034932899,9,1,10
Boone Logan,2010,-0.29171528588098017,0,1,1
Boone Logan,2011,-0.5,0,1,1
Boone Logan,2012,-0.4406779661016951,1,3,4
Boone Logan,2013,-0.6665278795841285,0,2,2
Brad Bergesen,2012,-0.3748125937031484,0,1,1
Brad Brach,2012,-0.5,0,1,1
Brad Lidge,2010,11.1133828409036,16,2,18
Brad Lidge,2011,1.027749229188078,1,0,1
Brad Lidge,2012,1.050420168067227,1,0,1
Brad Thompson,2010,-0.3748125937031484,0,1,1
Brad Ziegler,2010,-3.7522522522522532,0,4,4
Brad Ziegler,2011,1.0351966873706004,1,0,1
Brad Ziegler,2013,2.078169397255305,2,0,2
Brandon Kintzler,2012,-0.3748125937031484,0,1,1
Brandon Kintzler,2013,-0.5,0,1,1
Brandon League,2010,3.133655964804972,5,6,11
Brandon League,2011,21.243203715506162,36,4,40
Brandon League,2012,-0.6435993950358214,12,5,17
Brandon League,2013,2.7505886048096624,8,2,10
Brandon Lyon,2010,8.25063722402398,8,0,8
Brandon Lyon,2011,-16.417678182384044,2,2,4
Brandon Lyon,2012,0.15113959252765852,1,1,2
Brandon Lyon,2013,-1.1048583994759633,0,2,2
Brandon Maurer,2013,-0.29171528588098017,0,1,1
Brandon Workman,2013,-0.5,0,1,1
Brett Anderson,2013,6.0,3,0,3
Brett Cecil,2013,-8.573865868483422,1,2,3
Brett Myers,2012,10.014554661502563,11,1,12
Brett Tomko,2011,-0.6665278795841285,0,2,2
Brian Duensing,2012,-0.3748125937031484,0,1,1
Brian Duensing,2013,-0.7917152858809802,0,2,2
Brian Fuentes,2010,18.72656688127749,23,2,25
Brian Fuentes,2011,7.144900311665964,12,2,14
Brian Fuentes,2012,-4.629764142375279,5,2,7
Brian Matusz,2013,-1.228920242428361,0,3,3
Brian Omogrosso,2012,-0.29171528588098017,0,1,1
Brian Sanches,2010,-0.29171528588098017,0,1,1
Brian Sweeney,2010,-0.3748125937031484,0,1,1
Brian Tallet,2010,-0.6665278795841285,0,2,2
Brian Tallet,2011,-7.352941176470576,0,1,1
Brian Wilson,2010,38.83777323173831,32,3,35
Brian Wilson,2011,8.36134645876472,14,1,15
Brian Wilson,2012,1.0080645161290323,1,0,1
Bruce Chen,2010,2.0,1,0,1
Bruce Chen,2013,-0.5,0,1,1
Bruce Rondon,2013,1.271079757571639,1,2,3
Bryan Morris,2013,-0.3541076487252125,0,1,1
Bryan Shaw,2012,0.05932203389830493,1,2,3
Bryan Shaw,2013,1.354097240057138,1,3,4
Burke Badenhop,2011,-0.29171528588098017,0,1,1
Burke Badenhop,2013,0.16468844579789121,1,2,3
Carlos Marmol,2010,19.47280951133002,19,1,20
Carlos Marmol,2011,-26.813491814687396,13,2,15
Carlos Marmol,2012,6.806965782612099,11,2,13
Carlos Marmol,2013,-3.149848649137078,2,1,3
Carlos Torres,2012,-0.5834305717619603,0,2,2
Carlos Villanueva,2010,-5.208333333333337,0,1,1
Carlos Villanueva,2011,-0.7917152858809802,0,2,2
Casey Coleman,2012,-0.5,0,1,1
Casey Fien,2013,-1.0,0,2,2
Casey Janssen,2011,2.5277492291880783,2,1,3
Casey Janssen,2012,13.02046835865851,22,3,25
Casey Janssen,2013,20.615205844364,31,2,33
Cesar Ramos,2011,-1.3579961718698437,0,2,2
Cesar Ramos,2013,2.0,1,0,1
Chad Durbin,2010,-0.5,0,1,1
Chad Durbin,2011,-0.3748125937031484,0,1,1
Chad Durbin,2012,-0.3748125937031484,0,1,1
Chad Qualls,2010,3.0227726994068984,6,3,9
Chad Qualls,2011,-0.7504308822112554,0,2,2
Chad Qualls,2012,-0.3333333333333333,0,1,1
Chad Qualls,2013,-0.5,0,1,1
Chan Ho Park,2010,-1.5,0,3,3
Charlie Furbush,2013,-9.352871759801982,0,6,6
Chaz Roe,2013,-0.3748125937031484,0,1,1
Chia-Jen Lo,2013,-4.071600645646742,2,3,5
Chris Jakubauskas,2011,-0.29171528588098017,0,1,1
Chris Perez,2010,21.335388905207157,23,3,26
Chris Perez,2011,22.57458074357353,35,3,38
Chris Perez,2012,-11.22972702204882,37,4,41
Chris Perez,2013,13.307495776217188,23,2,25
Chris Ray,2010,2.8541770653938072,2,3,5
Chris Ray,2011,-0.3541076487252125,0,1,1
Chris Resop,2011,0.43117256499623313,1,2,3
Chris Resop,2012,-2.2522522522522532,0,1,1
Chris Sale,2010,6.275971595057503,4,0,4
Chris Sale,2011,5.403104776508599,8,2,10
Chris Sale,2012,-0.45871559633027525,0,1,1
Chris Sampson,2010,-0.5834305717619603,0,2,2
Christopher Leroux,2010,-0.7496251874062968,0,2,2
Christopher Leroux,2011,-0.3748125937031484,0,1,1
Cla Meredith,2010,-0.9604989604989604,1,1,2
Clay Hensley,2010,1.4100464726318733,2,2,4
Clay Hensley,2012,3.5,2,1,3
Clay Rapada,2010,-0.5,0,1,1
Clay Rapada,2012,-0.5834305717619603,0,2,2
Cody Allen,2012,-0.5,0,1,1
Cody Allen,2013,1.5475655556300718,2,1,3
Cody Eppley,2012,-0.29171528588098017,0,1,1
Collin Balester,2011,-0.29171528588098017,0,1,1
Cory Gearrin,2012,-0.3748125937031484,0,1,1
Cory Gearrin,2013,0.6458923512747875,1,2,3
Cory Rasmus,2013,-0.3748125937031484,0,1,1
Cory Wade,2011,-5.208333333333337,0,1,1
Cory Wade,2012,-0.728920242428361,0,2,2
Craig Breslow,2010,5.509621012292809,5,2,7
Craig Breslow,2011,-1.2496251874062967,0,3,3
Craig Breslow,2012,-0.8748125937031483,0,2,2
Craig Breslow,2013,-1.0,0,2,2
Craig Kimbrel,2010,1.0080645161290323,1,0,1
Craig Kimbrel,2011,4.086508095159326,22,3,25
Craig Kimbrel,2012,22.772721156227632,21,0,21
Craig Kimbrel,2013,14.543925403205963,24,2,26
Craig Stammen,2011,-0.29171528588098017,0,1,1
Craig Stammen,2012,-0.8992805755395684,0,1,1
Cristhian Martinez,2010,-0.29171528588098017,0,1,1
Cristhian Martinez,2012,2.0,1,0,1
D.J. Carrasco,2011,-0.5643434211045353,0,2,2
Dale Thayer,2012,2.4620616857384032,3,2,5
Dale Thayer,2013,-1.3128232450554878,0,3,3
Damaso Marte,2010,-0.5,0,1,1
Dan Cortes,2010,-1.25,0,1,1
Dan Haren,2013,1.1668611435239207,1,0,1
Dan Jennings,2013,-0.3748125937031484,0,1,1
Dan Meyer,2010,-1.5,0,2,2
Dan Wheeler,2010,4.153483608559641,3,3,6
Dane DeLaRosa,2013,2.058484684196259,2,0,2
Daniel Bard,2010,-3.7376598090680253,3,6,9
Daniel Bard,2011,-1.4364723298576463,1,5,6
Daniel Ray Herrera,2010,-0.5,0,1,1
Daniel Schlereth,2010,0.26081223188502556,1,1,2
Daniel Schlereth,2011,-0.5,0,1,1
Danny Farquhar,2013,3.7307723024269634,14,3,17
Danys Baez,2010,-0.7504308822112554,0,2,2
Danys Baez,2011,-0.5,0,1,1
Darren O'Day,2012,-1.0,0,2,2
Darren O'Day,2013,0.6458923512747874,1,3,4
Darren Oliver,2010,1.1251874062968517,2,3,5
Darren Oliver,2011,1.2033568035521567,2,2,4
Darren Oliver,2012,-0.5534337630838619,2,2,4
Darren Oliver,2013,-0.27262813522355506,0,1,1
David Aardsma,2010,5.99122683930401,30,4,34
David Aardsma,2013,-5.208333333333337,0,1,1
David Carpenter,2011,-0.5,0,1,1
David Carpenter,2012,-0.5,0,1,1
David Hernandez,2010,-4.88683340769447,1,3,4
David Hernandez,2011,4.175976390528171,5,2,7
David Hernandez,2012,1.4015269045151069,2,2,4
David Hernandez,2013,-2.873152777014778,0,4,4
David Herndon,2011,-0.3748125937031484,0,1,1
David Pauley,2011,-1.0,0,2,2
David Phelps,2013,-0.3748125937031484,0,1,1
David Purcey,2010,1.059322033898305,1,0,1
David Robertson,2010,1.6251874062968517,1,1,2
David Robertson,2011,-2.620591165208733,1,2,3
David Robertson,2012,-12.931778847275474,2,3,5
David Robertson,2013,-0.19957983193277307,1,1,2
Denny Bautista,2010,-0.29171528588098017,0,1,1
Dennys Reyes,2010,-1.8519553853464914,1,1,2
Derek Holland,2012,-0.29171528588098017,0,1,1
Derek Lowe,2012,3.0030030030030033,1,0,1
Donnie Veal,2012,2.0,1,0,1
Doug Mathis,2010,-0.29171528588098017,0,1,1
Doug Slaten,2011,-0.3748125937031484,0,1,1
Drake Britton,2013,-0.7496251874062968,0,2,2
Drew Carpenter,2011,-0.3748125937031484,0,1,1
Drew Smyly,2013,1.9559128981374414,2,3,5
Drew Storen,2010,-1.497005988023952,0,1,1
Drew Storen,2011,13.364647211583872,18,1,19
Drew Storen,2012,3.0504201680672267,2,0,2
Drew Storen,2013,-1.5,0,2,2
Dustin McGowan,2013,-0.5,0,1,1
Dustin Moseley,2010,-0.29171528588098017,0,1,1
Dustin Nippert,2010,-0.5,0,1,1
Edgmer Escalona,2013,-0.5,0,1,1
Eduardo Sanchez,2011,-1.5043622644626005,4,2,6
Eduardo Sanchez,2012,-0.5,0,1,1
Edward Mujica,2010,-0.3748125937031484,0,1,1
Edward Mujica,2011,-6.062440982058549,0,3,3
Edward Mujica,2012,-1.6180591033653895,1,7,8
Edward Mujica,2013,18.519300096484788,21,2,23
Elmer Dessens,2010,-0.3333333333333333,0,1,1
Enerio Del Rosario,2010,-0.5,0,1,1
Enrique Gonzalez,2011,-0.5,0,1,1
Erasmo Ramirez,2012,-0.29171528588098017,0,1,1
Eric O'Flaherty,2010,-0.5,0,1,1
Eric O'Flaherty,2011,-0.5,0,1,1
Eric O'Flaherty,2012,-0.3541076487252125,0,1,1
Eric O'Flaherty,2013,-0.45871559633027525,0,1,1
Erik Bedard,2013,2.5030030030030033,1,1,2
Ernesto Frieri,2012,21.59772661235248,21,1,22
Ernesto Frieri,2013,13.507153886645291,17,3,20
Esmailin Caridad,2010,-0.7504308822112554,0,2,2
Esmerling Vasquez,2011,-0.5,0,1,1
Esmil Rogers,2012,-0.3748125937031484,0,1,1
Evan Meek,2010,-0.8460431325961804,1,4,5
Evan Scribner,2012,2.0,1,0,1
Everett Teaford,2011,2.0,1,0,1
Everett Teaford,2012,-0.29171528588098017,0,1,1
Fautino De Los Santos,2011,-0.8748125937031483,0,2,2
Felipe Paulino,2010,-0.45871559633027525,0,1,1
Felix Doubront,2010,4.197802197802198,2,0,2
Felix Doubront,2011,1.1668611435239207,1,0,1
Fernando Abad,2011,-0.8748125937031483,0,2,2
Fernando Abad,2013,-0.3748125937031484,0,1,1
Fernando Cabrera,2010,-0.29171528588098017,0,1,1
Fernando Nieve,2010,-0.27262813522355506,0,1,1
Fernando Rodney,2010,-14.429900420529725,14,7,21
Fernando Rodney,2011,-8.868994027835363,3,3,6
Fernando Rodney,2012,44.36350185976499,47,2,49
Fernando Rodney,2013,9.075385041041763,31,4,35
Fernando Rodriguez,2012,-1.624437781109445,0,4,4
Fernando Salas,2011,7.119886042181917,15,3,18
Fernando Salas,2012,-9.634071852962398,0,2,2
Fernando Salas,2013,-0.5,0,1,1
Francisco Cordero,2010,-2.185314361998987,12,4,16
Francisco Cordero,2011,3.217518589603002,16,2,18
Francisco Cordero,2012,-23.368130227001195,2,5,7
Francisco Rodriguez,2010,11.77555154617679,16,2,18
Francisco Rodriguez,2011,6.045433325730761,6,1,7
Francisco Rodriguez,2012,-6.285948261479907,3,3,6
Francisco Rodriguez,2013,6.787624723035281,6,1,7
Frank Francisco,2010,-13.785886496000687,2,4,6
Frank Francisco,2011,-1.3729509209114281,16,4,20
Frank Francisco,2012,3.0012909433905803,6,2,8
Frank Herrmann,2010,1.5,1,1,2
Franklin Morales,2010,1.0554984583761562,2,1,3
Franklin Morales,2012,3.0030030030030033,1,0,1
Franklin Morales,2013,-0.3748125937031484,0,1,1
Garrett Olson,2010,1.3850415512465373,1,0,1
Garrett Richards,2012,1.1251874062968517,1,2,3
Garrett Richards,2013,0.75,1,1,2
George Kontos,2013,-0.29171528588098017,0,1,1
George Sherrill,2010,-2.1248125937031483,0,3,3
Glen Perkins,2011,2.746611775735219,2,2,4
Glen Perkins,2012,-20.926667750478167,14,3,17
Glen Perkins,2013,1.8934129203587309,31,1,32
Gonzalez Germen,2013,-2.2522522522522532,0,1,1
Grant Balfour,2010,-0.3748125937031484,0,1,1
Grant Balfour,2011,-6.474085210834618,2,4,6
Grant Balfour,2012,21.03741359074313,25,2,27
Grant Balfour,2013,-10.729878773720817,35,3,38
Greg Holland,2011,5.704981405363085,4,2,6
Greg Holland,2012,6.804564325794511,16,3,19
Greg Holland,2013,24.928089685248473,42,3,45
Guillermo Mota,2010,-0.5,0,1,1
Guillermo Mota,2011,0.8751458576429405,1,1,2
Guillermo Mota,2012,-0.3748125937031484,0,1,1
Gustavo Chacin,2010,-0.3748125937031484,0,1,1
Heath Bell,2010,22.11099976364645,21,0,21
Heath Bell,2011,19.526405096910374,24,1,25
Heath Bell,2012,-30.32367126112985,12,5,17
Heath Bell,2013,-6.381249848120092,8,3,11
Hector Ambriz,2012,-0.29171528588098017,0,1,1
Hector Ambriz,2013,-0.7952969157593228,1,3,4
Hector Rondon,2013,-0.45871559633027525,0,1,1
Hector Santiago,2012,-6.932897291056674,4,2,6
Henry Rodriguez,2010,-0.3748125937031484,0,1,1
Henry Rodriguez,2011,0.6529366354849298,1,1,2
Henry Rodriguez,2012,-1.1337196168790136,4,1,5
Hideki Okajima,2010,-1.4807740622600367,0,4,4
Hisanori Takahashi,2010,5.063562974505189,4,0,4
Hisanori Takahashi,2011,2.2680445491539944,2,2,4
Hisanori Takahashi,2012,-0.5,0,1,1
Hisanori Takahashi,2013,-0.29171528588098017,0,1,1
Hisashi Iwakuma,2012,2.3337222870478413,2,0,2
Hong-Chih Kuo,2010,6.451891755360845,6,0,6
Hong-Chih Kuo,2011,-0.5,0,1,1
Huston Street,2010,1.0725335878401376,10,1,11
Huston Street,2011,-1.8568080224155545,15,3,18
Huston Street,2012,11.227349703493175,13,1,14
Huston Street,2013,2.0940164604476506,7,1,8
Ivan Nova,2010,-0.45871559633027525,0,1,1
J.C. Romero,2010,1.2769984784373274,2,3,5
J.J. Hoover,2012,-0.3748125937031484,0,1,1
